image_name,x_min,y_min,x_max,y_max,class_name
./img/1.jpg,20,3,245,165,Inorganic
./img/10.jpg,212,8,418,304,Inorganic
./img/101.jpg,206,110,510,381,Inorganic
./img/102.jpg,108,47,371,325,Inorganic
./img/103.jpg,2,46,509,231,Inorganic
./img/104.jpg,228,156,395,381,Inorganic
./img/105.jpg,50,131,407,266,Inorganic
./img/106.jpg,160,58,350,383,Inorganic
./img/107.jpg,239,1,509,383,Inorganic
./img/108.jpg,102,0,441,383,Inorganic
./img/109.jpg,138,41,512,382,Inorganic
./img/1099.jpg,1,2,318,287,Inorganic
./img/11.jpg,111,128,390,294,Inorganic
./img/1100.jpg,254,2,511,379,Inorganic
./img/1101.jpg,81,12,432,344,Inorganic
./img/1102.jpg,163,102,489,352,Inorganic
./img/1103.jpg,159,69,363,331,Inorganic
./img/1104.jpg,114,103,386,308,Inorganic
./img/1105.jpg,184,4,451,281,Inorganic
./img/1106.jpg,61,76,320,322,Inorganic
./img/1106.jpg,203,206,506,381,Inorganic
./img/1107.jpg,118,109,445,381,Inorganic
./img/1108.jpg,87,42,356,317,Inorganic
./img/1109.jpg,8,46,512,381,Inorganic
./img/1110.jpg,233,1,509,328,Inorganic
./img/1111.jpg,27,1,510,383,Inorganic
./img/1112.jpg,22,94,382,369,Inorganic
./img/1113.jpg,65,2,509,380,Inorganic
./img/1114.jpg,104,48,512,383,Inorganic
./img/1115.jpg,188,64,509,381,Inorganic
./img/1116.jpg,1,34,508,381,Inorganic
./img/1117.jpg,2,1,510,249,Inorganic
./img/1118.jpg,143,105,361,324,Inorganic
./img/1119.jpg,100,14,435,357,Inorganic
./img/1120.jpg,0,4,505,358,Inorganic
./img/1121.jpg,140,44,387,298,Inorganic
./img/1122.jpg,0,100,510,383,Inorganic
./img/1123.jpg,9,29,509,381,Inorganic
./img/1124.jpg,90,111,509,381,Inorganic
./img/1125.jpg,128,98,365,317,Inorganic
./img/1126.jpg,129,0,507,331,Inorganic
./img/1127.jpg,131,101,352,276,Inorganic
./img/1128.jpg,80,106,464,266,Inorganic
./img/1129.jpg,10,5,452,383,Inorganic
./img/113.jpg,252,225,407,302,Inorganic
./img/1130.jpg,100,1,456,331,Inorganic
./img/1131.jpg,143,1,347,384,Inorganic
./img/1132.jpg,113,62,329,381,Inorganic
./img/1133.jpg,254,45,509,378,Inorganic
./img/1134.jpg,144,73,443,381,Inorganic
./img/1135.jpg,163,103,367,308,Inorganic
./img/1136.jpg,27,30,511,329,Inorganic
./img/1137.jpg,174,43,483,342,Inorganic
./img/1138.jpg,80,68,511,383,Inorganic
